Trip Group Quarterly Net Income (Millions of US $),Trip Group Quarterly Net Income (Millions of US $).1
2024-06-30,$527
2024-03-31,$597
2023-12-31,$183
2023-09-30,$634
2023-06-30,$89
2023-03-31,$491
2022-12-31,$314
2022-09-30,$37
2022-06-30,$10
2022-03-31,$-155
2021-12-31,$-128
2021-09-30,$-131
2021-06-30,$-100
2021-03-31,$273
2020-12-31,$90
2020-09-30,$234
2020-06-30,$-67
2020-03-31,$-754
2019-12-31,$266
2019-09-30,$112
2019-06-30,$-59
2019-03-31,$687
2018-12-31,$-203
2018-09-30,$-165
2018-06-30,$360
2018-03-31,$170
2017-12-31,$84
2017-09-30,$185
2017-06-30,$48
2017-03-31,$12
2016-09-30,$4
2016-06-30,$-78
2016-03-31,$-245
2015-12-31,$4
2015-09-30,$380
2015-06-30,$23
2015-03-31,$-20
2014-12-31,$-36
2014-09-30,$35
2014-06-30,$22
2014-03-31,$19
2013-12-31,$43
2013-09-30,$61
2013-06-30,$34
2013-03-31,$25
2012-12-31,$31
2012-09-30,$31
2012-06-30,$19
2012-03-31,$27
2011-12-31,$40
2011-09-30,$51
2011-06-30,$41
2011-03-31,$36
2010-12-31,$46
2010-09-30,$48
2010-06-30,$35
2010-03-31,$28
2009-12-31,$28
2009-09-30,$28
2009-06-30,$23
2009-03-31,$18
