SK Telecom Quarterly Net Income (Millions of US $),SK Telecom Quarterly Net Income (Millions of US $).1
2024-03-31,$278
2023-12-31,$137
2023-09-30,$234
2023-06-30,$260
2023-03-31,$229
2022-12-31,$108
2022-09-30,$162
2022-06-30,$200
2022-03-31,$169
2021-12-31,$256
2021-09-30,$706
2021-06-30,$689
2021-03-31,$502
2020-12-31,$311
2020-09-30,$310
2020-06-30,$339
2020-03-31,$245
2019-09-30,$217
2019-03-31,$341
2018-12-31,$464
2018-09-30,$925
2018-06-30,$817
2018-03-31,$625
2017-12-31,$704
2017-09-30,$716
2017-06-30,$555
2017-03-31,$349
2016-12-31,$495
2016-09-30,$293
2016-06-30,$248
2016-03-31,$457
2015-12-31,$266
2015-09-30,$344
2015-06-30,$356
2015-03-31,$412
2014-12-31,$451
2014-09-30,$287
2014-06-30,$484
2014-03-31,$265
2013-12-31,$289
2013-09-30,$454
2013-06-30,$420
2013-03-31,$329
2012-12-31,$590
2012-09-30,$159
2012-06-30,$128
2012-03-31,$271
2011-12-31,$189
2011-09-30,$327
2011-06-30,$439
2011-03-31,$494
2010-12-31,
2010-06-30,$298
2010-03-31,$284
2009-12-31,$219
2009-09-30,$354
2009-06-30,$245
2009-03-31,$280
