Comp En De Mn Cemig ADS Quarterly Net Income (Millions of US $),Comp En De Mn Cemig ADS Quarterly Net Income (Millions of US $).1
2024-06-30,$323
2024-03-31,$233
2023-12-31,$381
2023-09-30,$253
2023-06-30,$251
2023-03-31,$269
2022-12-31,$279
2022-09-30,$226
2022-06-30,$10
2022-03-31,$279
2021-12-31,$170
2021-09-30,$81
2021-06-30,$367
2021-03-31,$77
2020-12-31,$272
2020-09-30,$101
2020-06-30,$195
2020-03-31,$-13
2019-12-31,$112
2019-09-30,$-71
2019-06-30,$540
2019-03-31,$212
2018-12-31,$288
2018-09-30,$62
2018-06-30,$-17
2018-03-31,$143
2017-12-31,$188
2017-09-30,$-27
2017-06-30,$43
2017-03-31,$109
2016-12-31,$-97
2016-09-30,$134
2016-06-30,$58
2016-03-31,$1
2015-12-31,$10
2015-09-30,$48
2015-06-30,$174
2015-03-31,$523
2014-12-31,$797
2014-09-30,$11
2014-06-30,$333
2014-03-31,$530
2013-12-31,$562
2013-09-30,$346
2013-06-30,$269
2013-03-31,$427
2012-12-31,"$1,081"
2012-09-30,$463
2012-06-30,$310
2012-03-31,$358
2011-12-31,$361
2011-09-30,$405
2011-06-30,$328
2011-03-31,$316
2010-12-31,$575
2010-09-30,$324
2010-06-30,$164
2010-03-31,$236
2009-12-31,$222
2009-09-30,$329
2009-06-30,$283
2009-03-31,$161
