Rexford Industrial Realty Quarterly Net Income (Millions of US $),Rexford Industrial Realty Quarterly Net Income (Millions of US $).1
2024-09-30,$65
2024-06-30,$80
2024-03-31,$59
2023-12-31,$62
2023-09-30,$56
2023-06-30,$52
2023-03-31,$58
2022-12-31,$41
2022-09-30,$37
2022-06-30,$36
2022-03-31,$44
2021-12-31,$35
2021-09-30,$32
2021-06-30,$21
2021-03-31,$25
2020-12-31,$13
2020-09-30,$26
2020-06-30,$11
2020-03-31,$11
2019-12-31,$20
2019-09-30,$10
2019-06-30,$13
2019-03-31,$8
2018-12-31,$12
2018-09-30,$6
2018-06-30,$5
2018-03-31,$12
2017-12-31,$12
2017-09-30,$1
2017-06-30,$18
2017-03-31,$4
2016-12-31,$7
2016-09-30,$2
2016-06-30,$12
2016-03-31,$1
2015-12-31,$1
2015-09-30,$1
2015-06-30,$0
2015-03-31,$0
2014-12-31,$0
2014-09-30,$-1
2014-06-30,$0
2014-03-31,$1
2013-12-31,$-1
2013-09-30,$-2
2013-06-30,$-2
2013-03-31,$0
2012-12-31,
2012-09-30,$-2
2012-06-30,$-1
2011-12-31,
