Ollie's Bargain Outlet Holdings Quarterly Net Income (Millions of US $),Ollie's Bargain Outlet Holdings Quarterly Net Income (Millions of US $).1
2024-07-31,$49
2024-04-30,$46
2024-01-31,$76
2023-10-31,$32
2023-07-31,$42
2023-04-30,$31
2023-01-31,$53
2022-10-31,$23
2022-07-31,$14
2022-04-30,$13
2022-01-31,$45
2021-10-31,$23
2021-07-31,$34
2021-04-30,$55
2021-01-31,$65
2020-10-31,$45
2020-07-31,$99
2020-04-30,$33
2020-01-31,$50
2019-10-31,$27
2019-07-31,$25
2019-04-30,$39
2019-01-31,$50
2018-10-31,$25
2018-07-31,$30
2018-04-30,$30
2018-01-31,$70
2017-10-31,$19
2017-07-31,$20
2017-04-30,$19
2017-01-31,$24
2016-10-31,$10
2016-07-31,$13
2016-04-30,$12
2016-01-31,$16
2015-10-31,$7
2015-07-31,$6
2015-04-30,$7
2015-01-31,
2014-10-31,$5
2014-07-31,$6
2014-01-31,
