Ryanair Holdings Quarterly Net Income (Millions of US $),Ryanair Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$388
2024-03-31,$-313
2023-12-31,$16
2023-09-30,"$1,649"
2023-06-30,$723
2022-12-31,$206
2022-09-30,
2022-06-30,$200
2022-03-31,$-107
2021-12-31,$-110
2021-09-30,$265
2021-06-30,$-328
2021-03-31,$-336
2020-12-31,$-383
2020-09-30,$-264
2020-06-30,$-204
2020-03-31,$-661
2019-12-31,$97
2019-09-30,"$1,012"
2019-06-30,$273
2019-03-31,$-247
2018-12-31,$-75
2018-09-30,$978
2018-06-30,$369
2018-03-31,$84
2017-12-31,$124
2017-09-30,"$1,052"
2017-06-30,$437
2017-03-31,$236
2016-12-31,$102
2016-09-30,$817
2016-06-30,$289
2016-03-31,"$1,066"
2015-12-31,$112
2015-09-30,$273
2015-06-30,$271
2015-03-31,$35
2014-12-31,$55
2014-09-30,$749
2014-06-30,$265
2014-03-31,$-60
2013-12-31,$-48
2013-09-30,$706
2013-06-30,$102
2013-03-31,$-57
2012-12-31,$24
2012-09-30,$622
2012-06-30,$127
2012-03-31,$3
2011-12-31,$20
2011-09-30,$557
2011-06-30,$200
2011-03-31,$-52
2010-12-31,$-14
2010-09-30,$426
2010-06-30,$120
2010-03-31,$-70
2009-12-31,$-16
2009-09-30,$358
2009-06-30,$168
2009-03-31,$-223
