Power Integrations Quarterly Net Income (Millions of US $),Power Integrations Quarterly Net Income (Millions of US $).1
2024-06-30,$5
2024-03-31,$4
2023-12-31,$14
2023-09-30,$20
2023-06-30,$15
2023-03-31,$7
2022-12-31,$23
2022-09-30,$46
2022-06-30,$56
2022-03-31,$46
2021-12-31,$41
2021-09-30,$42
2021-06-30,$42
2021-03-31,$40
2020-12-31,$27
2020-09-30,$15
2020-06-30,$13
2020-03-31,$16
2019-12-31,$158
2019-09-30,$17
2019-06-30,$11
2019-03-31,$7
2018-12-31,$23
2018-09-30,$18
2018-06-30,$15
2018-03-31,$14
2017-12-31,$-17
2017-09-30,$17
2017-06-30,$14
2017-03-31,$14
2016-12-31,$14
2016-09-30,$13
2016-06-30,$11
2016-03-31,$10
2015-12-31,$13
2015-09-30,$12
2015-06-30,$9
2015-03-31,$6
2014-12-31,$14
2014-09-30,$16
2014-06-30,$17
2014-03-31,$12
2013-12-31,$16
2013-09-30,$17
2013-06-30,$14
2013-03-31,$11
2012-12-31,$10
2012-09-30,$-44
2012-06-30,$-7
2012-03-31,$7
2011-12-31,$6
2011-09-30,$8
2011-06-30,$11
2011-03-31,$10
2010-12-31,$9
2010-09-30,$13
2010-06-30,$16
2010-03-31,$12
2009-12-31,$9
2009-09-30,$9
2009-06-30,$5
2009-03-31,$0
