Snap Quarterly Net Income (Millions of US $),Snap Quarterly Net Income (Millions of US $).1
2024-06-30,$-249
2024-03-31,$-305
2023-12-31,$-248
2023-09-30,$-368
2023-06-30,$-377
2023-03-31,$-329
2022-12-31,$-288
2022-09-30,$-360
2022-06-30,$-422
2022-03-31,$-360
2021-12-31,$23
2021-09-30,$-72
2021-06-30,$-152
2021-03-31,$-287
2020-12-31,$-113
2020-09-30,$-200
2020-06-30,$-326
2020-03-31,$-306
2019-12-31,$-241
2019-09-30,$-227
2019-06-30,$-255
2019-03-31,$-310
2018-12-31,$-192
2018-09-30,$-325
2018-06-30,$-353
2018-03-31,$-386
2017-12-31,$-350
2017-09-30,$-443
2017-06-30,$-443
2017-03-31,"$-2,209"
2016-12-31,$-170
2016-09-30,$-124
2016-06-30,$-116
2016-03-31,$-105
2015-12-31,
