Madison Square Garden Quarterly Net Income (Millions of US $),Madison Square Garden Quarterly Net Income (Millions of US $).1
2024-06-30,$25
2024-03-31,$38
2023-12-31,$14
2023-09-30,$-19
2023-06-30,$-9
2023-03-31,$52
2022-12-31,$20
2022-09-30,$-18
2022-06-30,$27
2022-03-31,$25
2021-12-31,$16
2021-09-30,$-16
2021-06-30,$50
2021-03-31,$5
2020-12-31,$-41
2020-09-30,$-28
2020-06-30,$-79
2020-03-31,$-118
2019-12-31,$94
2019-09-30,$-80
2019-06-30,$-73
2019-03-31,$35
2018-12-31,$82
2018-09-30,$-32
2018-06-30,$-46
2018-03-31,$9
2017-12-31,$190
2017-09-30,$-11
2017-06-30,$-84
2017-03-31,$-18
2016-12-31,$58
2016-09-30,$-29
2016-06-30,$-58
2016-03-31,$-61
2015-12-31,$43
2015-09-30,$-2
2015-06-30,$46
2015-03-31,$-11
2014-12-31,$10
2014-09-30,$-38
2014-06-30,$12
2014-03-31,$19
2013-12-31,$61
2013-09-30,$24
2013-06-30,$36
2013-03-31,$38
2012-12-31,$47
2012-09-30,$21
2012-06-30,$29
2012-03-31,$31
2011-12-31,$26
2011-09-30,$21
2011-06-30,$9
2011-03-31,$19
2010-12-31,
2010-09-30,$19
2010-06-30,$14
2010-03-31,$17
2009-12-31,
2009-09-30,$10
2009-06-30,$-4
2009-03-31,$-2
