Spire Quarterly Net Income (Millions of US $),Spire Quarterly Net Income (Millions of US $).1
2024-06-30,$-16
2024-03-31,$200
2023-12-31,$81
2023-09-30,$-35
2023-06-30,$-25
2023-03-31,$175
2022-12-31,$87
2022-09-30,$-11
2022-06-30,$-5
2022-03-31,$170
2021-12-31,$52
2021-09-30,$-14
2021-06-30,$2
2021-03-31,$183
2020-12-31,$85
2020-09-30,$-23
2020-06-30,$-96
2020-03-31,$130
2019-12-31,$63
2019-09-30,$-38
2019-06-30,$-5
2019-03-31,$154
2018-12-31,$67
2018-09-30,$-26
2018-06-30,$26
2018-03-31,$98
2017-12-31,$116
2017-09-30,$-14
2017-06-30,$22
2017-03-31,$108
2016-12-31,$45
2016-09-30,$-15
2016-06-30,$11
2016-03-31,$101
2015-12-31,$47
2015-09-30,$-19
2015-06-30,$14
2015-03-31,$94
2014-12-31,$47
2014-09-30,$-15
2014-06-30,$12
2014-03-31,$52
2013-12-31,$36
2013-09-30,$-10
2013-06-30,$7
2013-03-31,$30
2012-12-31,$25
2012-09-30,$-0
2012-06-30,$8
2012-03-31,$30
2011-12-31,$25
2011-09-30,$-3
2011-06-30,$15
2011-03-31,$28
2010-12-31,$23
2010-09-30,$-2
2010-06-30,$5
2010-03-31,$28
2009-12-31,$23
2009-09-30,$-5
2009-06-30,$7
2009-03-31,$31
