Nexstar Media Quarterly Net Income (Millions of US $),Nexstar Media Quarterly Net Income (Millions of US $).1
2024-06-30,$118
2024-03-31,$175
2023-12-31,$114
2023-09-30,$25
2023-06-30,$96
2023-03-31,$111
2022-12-31,$203
2022-09-30,$289
2022-06-30,$227
2022-03-31,$252
2021-12-31,$263
2021-09-30,$170
2021-06-30,$200
2021-03-31,$201
2020-12-31,$364
2020-09-30,$191
2020-06-30,$100
2020-03-31,$157
2019-12-31,$113
2019-09-30,$-6
2019-06-30,$68
2019-03-31,$55
2018-12-31,$153
2018-09-30,$101
2018-06-30,$88
2018-03-31,$48
2017-12-31,$378
2017-09-30,$46
2017-06-30,$44
2017-03-31,$6
2016-12-31,$20
2016-09-30,$25
2016-06-30,$25
2016-03-31,$22
2015-12-31,$27
2015-09-30,$17
2015-06-30,$20
2015-03-31,$13
2014-12-31,$31
2014-09-30,$15
2014-06-30,$11
2014-03-31,$7
2013-12-31,$-12
2013-09-30,$4
2013-06-30,$6
2013-03-31,$1
2012-12-31,$161
2012-09-30,$10
2012-06-30,$9
2012-03-31,$3
2011-12-31,$3
2011-09-30,$-6
2011-06-30,$-3
2011-03-31,$-6
2010-12-31,$14
2010-09-30,$-3
2010-06-30,$-9
2010-03-31,$-4
2009-12-31,$1
2009-09-30,$-18
2009-06-30,$-1
2009-03-31,$6
