Korea Electric Power Quarterly Net Income (Millions of US $),Korea Electric Power Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$449
2023-12-31,$986
2023-09-30,$635
2023-06-30,"$-1,522"
2023-03-31,"$-3,957"
2022-12-31,"$-4,361"
2022-09-30,"$-4,134"
2022-06-30,"$-3,870"
2022-03-31,"$-4,762"
2021-12-31,"$-3,294"
2021-09-30,$-941
2021-06-30,$-626
2021-03-31,$77
2020-12-31,$453
2020-09-30,$989
2020-06-30,$133
2020-03-31,$18
2019-12-31,$-943
2019-09-30,$178
2019-06-30,$-403
2019-03-31,$-709
2018-12-31,"$-1,436"
2018-09-30,"$1,344"
2018-06-30,$-854
2018-03-31,$-250
2017-12-31,"$-1,250"
2017-09-30,"$1,344"
2017-06-30,$294
2017-03-31,$780
2016-12-31,$460
2016-09-30,"$2,622"
2016-06-30,"$1,554"
2016-03-31,"$1,708"
2015-12-31,"$1,399"
2015-09-30,"$8,307"
2015-06-30,"$1,175"
2015-03-31,"$1,080"
2014-12-31,$510
2014-09-30,"$1,547"
2014-06-30,$150
2014-03-31,$479
2013-12-31,$533
2013-09-30,$851
2013-06-30,"$-1,452"
2013-03-31,$124
2012-12-31,"$-1,677"
2012-09-30,$851
2012-06-30,"$-1,536"
2012-03-31,$-457
2011-12-31,
2010-12-31,
2010-03-31,$-73
2009-12-31,$-67
2009-06-30,
2009-03-31,$-883
