Masimo Quarterly Net Income (Millions of US $),Masimo Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$19
2023-12-31,$34
2023-09-30,$11
2023-06-30,$16
2023-03-31,$21
2022-12-31,$41
2022-09-30,$38
2022-06-30,$18
2022-03-31,$47
2021-12-31,$68
2021-09-30,$58
2021-06-30,$50
2021-03-31,$53
2020-12-31,$71
2020-09-30,$49
2020-06-30,$56
2020-03-31,$64
2019-12-31,$53
2019-09-30,$49
2019-06-30,$45
2019-03-31,$49
2018-12-31,$47
2018-09-30,$57
2018-06-30,$44
2018-03-31,$46
2017-12-31,$-8
2017-09-30,$36
2017-06-30,$45
2017-03-31,$52
2016-12-31,$226
2016-09-30,$28
2016-06-30,$30
2016-03-31,$28
2015-12-31,$24
2015-09-30,$19
2015-06-30,$19
2015-03-31,$21
2014-12-31,$21
2014-09-30,$15
2014-06-30,$14
2014-03-31,$23
2013-12-31,$9
2013-09-30,$16
2013-06-30,$17
2013-03-31,$16
2012-12-31,$15
2012-09-30,$14
2012-06-30,$18
2012-03-31,$16
2011-12-31,$14
2011-09-30,$15
2011-06-30,$17
2011-03-31,$18
2010-12-31,$16
2010-09-30,$16
2010-06-30,$14
2010-03-31,$27
2009-12-31,$14
2009-09-30,$13
2009-06-30,$13
2009-03-31,$13
