First Industrial Realty Trust Quarterly Net Income (Millions of US $),First Industrial Realty Trust Quarterly Net Income (Millions of US $).1
2024-09-30,$99
2024-06-30,$51
2024-03-31,$68
2023-12-31,$89
2023-09-30,$75
2023-06-30,$55
2023-03-31,$56
2022-12-31,$82
2022-09-30,$124
2022-06-30,$117
2022-03-31,$36
2021-12-31,$114
2021-09-30,$42
2021-06-30,$52
2021-03-31,$62
2020-12-31,$84
2020-09-30,$36
2020-06-30,$36
2020-03-31,$41
2019-12-31,$97
2019-09-30,$78
2019-06-30,$40
2019-03-31,$24
2018-12-31,$51
2018-09-30,$31
2018-06-30,$45
2018-03-31,$36
2017-12-31,$98
2017-09-30,$43
2017-06-30,$38
2017-03-31,$23
2016-12-31,$24
2016-09-30,$32
2016-06-30,$50
2016-03-31,$16
2015-12-31,$44
2015-09-30,$14
2015-06-30,$14
2015-03-31,$2
2014-12-31,$19
2014-09-30,$21
2014-06-30,$4
2014-03-31,$2
2013-12-31,$20
2013-09-30,$5
2013-06-30,$5
2013-03-31,$-5
2012-12-31,$-8
2012-09-30,$4
2012-06-30,$-14
2012-03-31,$-4
2011-12-31,$-5
2011-09-30,$-9
2011-06-30,$-5
2011-03-31,$-9
2010-12-31,$-28
2010-09-30,$-154
2010-06-30,$-19
2010-03-31,$-22
2009-12-31,$11
2009-09-30,$-2
2009-06-30,$-8
2009-03-31,$-15
