Primo Water Quarterly Net Income (Millions of US $),Primo Water Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$25
2023-12-31,$178
2023-09-30,$33
2023-06-30,$21
2023-03-31,$6
2022-12-31,$58
2022-09-30,$1
2022-06-30,$-23
2022-03-31,$-7
2021-12-31,$-3
2021-09-30,$18
2021-06-30,$-8
2021-03-31,$-10
2020-12-31,$-21
2020-09-30,$22
2020-06-30,$-136
2020-03-31,$4
2019-12-31,$8
2019-09-30,$10
2019-06-30,$4
2019-03-31,$-20
2018-12-31,$1
2018-09-30,$10
2018-06-30,$11
2018-03-31,$361
2017-12-31,$17
2017-09-30,$43
2017-06-30,$-25
2017-03-31,$-36
2016-12-31,$-80
2016-09-30,$-3
2016-06-30,$7
2016-03-31,$-3
2015-12-31,$-4
2015-09-30,$5
2015-06-30,$2
2015-03-31,$-6
2014-12-31,$19
2014-09-30,$1
2014-06-30,$-6
2014-03-31,$-4
2013-12-31,$-12
2013-09-30,$12
2013-06-30,$17
2013-03-31,
2012-12-31,$3
2012-09-30,$15
2012-06-30,$25
2012-03-31,$6
2011-12-31,$-12
2011-09-30,$16
2011-06-30,$27
2011-03-31,$7
2010-12-31,$15
2010-09-30,$6
2010-06-30,$22
2010-03-31,$12
2009-12-31,$14
2009-09-30,$14
2009-06-30,$34
2009-03-31,$20
