PBF Energy Quarterly Net Income (Millions of US $),PBF Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-65
2024-03-31,$107
2023-12-31,$-48
2023-09-30,$786
2023-06-30,"$1,020"
2023-03-31,$382
2022-12-31,$638
2022-09-30,"$1,056"
2022-06-30,"$1,204"
2022-03-31,$-21
2021-12-31,$165
2021-09-30,$59
2021-06-30,$48
2021-03-31,$-41
2020-12-31,$-298
2020-09-30,$-417
2020-06-30,$389
2020-03-31,"$-1,066"
2019-12-31,$53
2019-09-30,$70
2019-06-30,$-32
2019-03-31,$229
2018-12-31,$-354
2018-09-30,$180
2018-06-30,$272
2018-03-31,$30
2017-12-31,$242
2017-09-30,$314
2017-06-30,$-110
2017-03-31,$-31
2016-12-31,$55
2016-09-30,$42
2016-06-30,$104
2016-03-31,$-29
2015-12-31,$-120
2015-09-30,$43
2015-06-30,$136
2015-03-31,$87
2014-12-31,$-278
2014-09-30,$141
2014-06-30,$21
2014-03-31,$77
2013-12-31,$31
2013-09-30,$-20
2013-06-30,$17
2013-03-31,$11
2012-12-31,$2
2012-09-30,$187
2012-06-30,$556
2012-03-31,$-203
2011-12-31,
2010-12-31,
