HF Sinclair Quarterly Net Income (Millions of US $),HF Sinclair Quarterly Net Income (Millions of US $).1
2024-06-30,$151
2024-03-31,$313
2023-12-31,$-62
2023-09-30,$784
2023-06-30,$503
2023-03-31,$350
2022-12-31,$580
2022-09-30,$945
2022-06-30,"$1,210"
2022-03-31,$158
2021-12-31,$-39
2021-09-30,$277
2021-06-30,$167
2021-03-31,$146
2020-12-31,$-120
2020-09-30,$-2
2020-06-30,$-177
2020-03-31,$-305
2019-12-31,$60
2019-09-30,$262
2019-06-30,$197
2019-03-31,$253
2018-12-31,$138
2018-09-30,$342
2018-06-30,$346
2018-03-31,$268
2017-12-31,$521
2017-09-30,$272
2017-06-30,$58
2017-03-31,$-45
2016-12-31,$52
2016-09-30,$74
2016-06-30,$-409
2016-03-31,$21
2015-12-31,$-46
2015-09-30,$196
2015-06-30,$361
2015-03-31,$227
2014-12-31,$-222
2014-09-30,$175
2014-06-30,$176
2014-03-31,$152
2013-12-31,$62
2013-09-30,$82
2013-06-30,$257
2013-03-31,$332
2012-12-31,$389
2012-09-30,$598
2012-06-30,$491
2012-03-31,$242
2011-12-31,$220
2011-09-30,$523
2011-06-30,$192
2011-03-31,$85
2010-12-31,$15
2010-09-30,$51
2010-06-30,$66
2010-03-31,$-28
2009-12-31,$-41
2009-09-30,$23
2009-06-30,$15
2009-03-31,$22
