Science Applications Quarterly Net Income (Millions of US $),Science Applications Quarterly Net Income (Millions of US $).1
2024-07-31,$81
2024-04-30,$77
2024-01-31,$39
2023-10-31,$93
2023-07-31,$247
2023-04-30,$98
2023-01-31,$74
2022-10-31,$80
2022-07-31,$73
2022-04-30,$73
2022-01-31,$43
2021-10-31,$71
2021-07-31,$82
2021-04-30,$81
2021-01-31,$62
2020-10-31,$60
2020-07-31,$51
2020-04-30,$36
2020-01-31,$59
2019-10-31,$55
2019-07-31,$57
2019-04-30,$55
2019-01-31,$-9
2018-10-31,$48
2018-07-31,$49
2018-04-30,$49
2018-01-31,$51
2017-10-31,$43
2017-07-31,$36
2017-04-30,$49
2017-01-31,$31
2016-10-31,$42
2016-07-31,$37
2016-04-30,$33
2016-01-31,$28
2015-10-31,$34
2015-07-31,$22
2015-04-30,$33
2015-01-31,$36
2014-10-31,$37
2014-07-31,$34
2014-04-30,$34
2014-01-31,$33
2013-10-31,$22
2013-07-31,$25
2013-04-30,$33
2013-01-31,$43
2012-10-31,$45
2012-07-31,$38
2012-04-30,$117
2012-01-31,$-36
2011-10-31,$-91
2011-07-31,$178
2011-04-30,$131
2011-01-31,
2010-10-31,$171
2010-01-31,
