Lamar Advertising Quarterly Net Income (Millions of US $),Lamar Advertising Quarterly Net Income (Millions of US $).1
2024-06-30,$137
2024-03-31,$78
2023-12-31,$149
2023-09-30,$140
2023-06-30,$131
2023-03-31,$76
2022-12-31,$66
2022-09-30,$146
2022-06-30,$134
2022-03-31,$92
2021-12-31,$123
2021-09-30,$107
2021-06-30,$120
2021-03-31,$38
2020-12-31,$109
2020-09-30,$63
2020-06-30,$31
2020-03-31,$40
2019-12-31,$103
2019-09-30,$100
2019-06-30,$118
2019-03-31,$51
2018-12-31,$96
2018-09-30,$94
2018-06-30,$100
2018-03-31,$15
2017-12-31,$87
2017-09-30,$96
2017-06-30,$92
2017-03-31,$42
2016-12-31,$80
2016-09-30,$85
2016-06-30,$82
2016-03-31,$51
2015-12-31,$76
2015-09-30,$86
2015-06-30,$59
2015-03-31,$41
2014-12-31,$208
2014-09-30,$35
2014-06-30,$15
2014-03-31,$-5
2013-12-31,$10
2013-09-30,$17
2013-06-30,$23
2013-03-31,$-10
2012-12-31,$5
2012-09-30,$11
2012-06-30,$14
2012-03-31,$-23
2011-12-31,$5
2011-09-30,$4
2011-06-30,$11
2011-03-31,$-13
2010-12-31,$-7
2010-09-30,$1
2010-06-30,$-9
2010-03-31,$-25
2009-12-31,$-20
2009-09-30,$-5
2009-06-30,$-12
2009-03-31,$-22
