Herc Holdings Quarterly Net Income (Millions of US $),Herc Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$70
2024-03-31,$65
2023-12-31,$91
2023-09-30,$113
2023-06-30,$76
2023-03-31,$67
2022-12-31,$98
2022-09-30,$101
2022-06-30,$73
2022-03-31,$58
2021-12-31,$72
2021-09-30,$72
2021-06-30,$47
2021-03-31,$33
2020-12-31,$36
2020-09-30,$40
2020-06-30,$2
2020-03-31,$-4
2019-12-31,$35
2019-09-30,$9
2019-06-30,$10
2019-03-31,$-7
2018-12-31,$33
2018-09-30,$46
2018-06-30,$-0
2018-03-31,$-10
2017-12-31,$214
2017-09-30,$13
2017-06-30,$-28
2017-03-31,$-39
2016-12-31,$-14
2016-09-30,$3
2016-06-30,$-8
2016-03-31,$-2
2015-12-31,$78
2015-09-30,$21
2015-06-30,$11
2015-03-31,$-70
2014-12-31,$-234
2014-09-30,$149
2014-06-30,$72
2014-03-31,$-69
2013-12-31,$-17
2013-09-30,$202
2013-06-30,$111
2013-03-31,$6
2012-12-31,$-95
2012-09-30,$243
2012-06-30,$93
2012-03-31,$-56
2011-12-31,$35
2011-09-30,$207
2011-06-30,$55
2011-03-31,$-133
2010-12-31,$-28
2010-09-30,$155
2010-06-30,$-25
2010-03-31,$-150
2009-12-31,$-34
2009-09-30,$65
2009-06-30,$4
2009-03-31,$-164
