Olin Quarterly Net Income (Millions of US $),Olin Quarterly Net Income (Millions of US $).1
2024-06-30,$74
2024-03-31,$49
2023-12-31,$53
2023-09-30,$104
2023-06-30,$147
2023-03-31,$156
2022-12-31,$197
2022-09-30,$315
2022-06-30,$422
2022-03-31,$393
2021-12-31,$307
2021-09-30,$391
2021-06-30,$356
2021-03-31,$244
2020-12-31,$-33
2020-09-30,$-737
2020-06-30,$-120
2020-03-31,$-80
2019-12-31,$-77
2019-09-30,$44
2019-06-30,$-20
2019-03-31,$42
2018-12-31,$53
2018-09-30,$195
2018-06-30,$59
2018-03-31,$21
2017-12-31,$489
2017-09-30,$53
2017-06-30,$-6
2017-03-31,$13
2016-12-31,$18
2016-09-30,$18
2016-06-30,$-1
2016-03-31,$-38
2015-12-31,$-63
2015-09-30,$6
2015-06-30,$42
2015-03-31,$13
2014-12-31,$13
2014-09-30,$26
2014-06-30,$37
2014-03-31,$30
2013-12-31,$25
2013-09-30,$70
2013-06-30,$44
2013-03-31,$41
2012-12-31,$35
2012-09-30,$29
2012-06-30,$48
2012-03-31,$39
2011-12-31,$19
2011-09-30,$47
2011-06-30,$42
2011-03-31,$134
2010-12-31,$2
2010-09-30,$32
2010-06-30,$17
2010-03-31,$14
2009-12-31,$22
2009-09-30,$39
2009-06-30,$28
2009-03-31,$47
