ITT Quarterly Net Income (Millions of US $),ITT Quarterly Net Income (Millions of US $).1
2024-06-30,$119
2024-03-31,$111
2023-12-31,$92
2023-09-30,$111
2023-06-30,$108
2023-03-31,$100
2022-12-31,$115
2022-09-30,$102
2022-06-30,$75
2022-03-31,$75
2021-12-31,$104
2021-09-30,$88
2021-06-30,$39
2021-03-31,$86
2020-12-31,$-14
2020-09-30,$-47
2020-06-30,$48
2020-03-31,$85
2019-12-31,$68
2019-09-30,$119
2019-06-30,$67
2019-03-31,$71
2018-12-31,$52
2018-09-30,$111
2018-06-30,$70
2018-03-31,$101
2017-12-31,$-67
2017-09-30,$87
2017-06-30,$48
2017-03-31,$46
2016-12-31,$26
2016-09-30,$90
2016-06-30,$33
2016-03-31,$37
2015-12-31,$37
2015-09-30,$131
2015-06-30,$142
2015-03-31,$42
2014-12-31,$34
2014-09-30,$80
2014-06-30,$38
2014-03-31,$32
2013-12-31,$11
2013-09-30,$431
2013-06-30,$26
2013-03-31,$21
2012-12-31,$32
2012-09-30,$73
2012-06-30,$17
2012-03-31,$3
2011-12-31,$-529
2011-09-30,$109
2011-06-30,$170
2011-03-31,$121
2010-12-31,$269
2010-09-30,$145
2010-06-30,$238
2010-03-31,$146
2009-12-31,$199
2009-09-30,$59
2009-06-30,$201
2009-03-31,$184
