Paylocity Holding Quarterly Net Income (Millions of US $),Paylocity Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$85
2023-12-31,$38
2023-09-30,$35
2023-06-30,$37
2023-03-31,$58
2022-12-31,$16
2022-09-30,$30
2022-06-30,$15
2022-03-31,$35
2021-12-31,$10
2021-09-30,$31
2021-06-30,$11
2021-03-31,$37
2020-12-31,$10
2020-09-30,$12
2020-06-30,$6
2020-03-31,$40
2019-12-31,$5
2019-09-30,$14
2019-06-30,$10
2019-03-31,$28
2018-12-31,$6
2018-09-30,$10
2018-06-30,$-2
2018-03-31,$39
2017-12-31,$0
2017-09-30,$1
2017-06-30,$-4
2017-03-31,$15
2016-12-31,$-2
2016-09-30,$-3
2016-06-30,$-5
2016-03-31,$6
2015-12-31,$-1
2015-09-30,$-3
2015-06-30,$-4
2015-03-31,$2
2014-12-31,$-6
2014-09-30,$-5
2014-06-30,$-7
2014-03-31,$0
2013-12-31,$-2
2013-09-30,$-1
2013-06-30,
2013-03-31,$1
2012-06-30,
2011-06-30,
