Flex Quarterly Net Income (Millions of US $),Flex Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$395
2023-12-31,$197
2023-09-30,$228
2023-06-30,$186
2023-03-31,$142
2022-12-31,$230
2022-09-30,$232
2022-06-30,$189
2022-03-31,$167
2021-12-31,$227
2021-09-30,$336
2021-06-30,$206
2021-03-31,$240
2020-12-31,$208
2020-09-30,$113
2020-06-30,$52
2020-03-31,$49
2019-12-31,$111
2019-09-30,$-117
2019-06-30,$45
2019-03-31,$-65
2018-12-31,$-45
2018-09-30,$87
2018-06-30,$116
2018-03-31,$-20
2017-12-31,$118
2017-09-30,$205
2017-06-30,$125
2017-03-31,$87
2016-12-31,$129
2016-09-30,$-3
2016-06-30,$106
2016-03-31,$61
2015-12-31,$149
2015-09-30,$123
2015-06-30,$111
2015-03-31,$135
2014-12-31,$153
2014-09-30,$139
2014-06-30,$174
2014-03-31,$43
2013-12-31,$145
2013-09-30,$118
2013-06-30,$59
2013-03-31,$-49
2012-12-31,$47
2012-09-30,$151
2012-06-30,$128
2012-03-31,$125
2011-12-31,$102
2011-09-30,$130
2011-06-30,$132
2011-03-31,$135
2010-12-31,$198
2010-09-30,$144
2010-06-30,$118
2010-03-31,$60
2009-12-31,$93
2009-09-30,$20
2009-06-30,$-154
2009-03-31,$-249
