DICK'S Sporting Goods Quarterly Net Income (Millions of US $),DICK'S Sporting Goods Quarterly Net Income (Millions of US $).1
2024-07-31,$362
2024-04-30,$275
2024-01-31,$296
2023-10-31,$201
2023-07-31,$244
2023-04-30,$305
2023-01-31,$236
2022-10-31,$228
2022-07-31,$319
2022-04-30,$261
2022-01-31,$346
2021-10-31,$317
2021-07-31,$496
2021-04-30,$362
2021-01-31,$220
2020-10-31,$177
2020-07-31,$277
2020-04-30,$-143
2020-01-31,$70
2019-10-31,$58
2019-07-31,$113
2019-04-30,$58
2019-01-31,$103
2018-10-31,$38
2018-07-31,$119
2018-04-30,$60
2018-01-31,$116
2017-10-31,$37
2017-07-31,$112
2017-04-30,$58
2017-01-31,$90
2016-10-31,$49
2016-07-31,$91
2016-04-30,$57
2016-01-31,$129
2015-10-31,$47
2015-07-31,$91
2015-04-30,$63
2015-01-31,$156
2014-10-31,$49
2014-07-31,$69
2014-04-30,$70
2014-01-31,$139
2013-10-31,$50
2013-07-31,$84
2013-04-30,$65
2013-01-31,$130
2012-10-31,$50
2012-07-31,$54
2012-04-30,$57
2012-01-31,$111
2011-10-31,$41
2011-07-31,$74
2011-04-30,$37
2011-01-31,$87
2010-10-31,$17
2010-07-31,$52
2010-04-30,$26
2010-01-31,$67
2009-10-31,$19
2009-07-31,$39
2009-04-30,$10
2009-01-31,$-106
