RPM Quarterly Net Income (Millions of US $),RPM Quarterly Net Income (Millions of US $).1
2024-05-31,$182
2024-02-29,$61
2023-11-30,$145
2023-08-31,$200
2023-05-31,$154
2023-02-28,$27
2022-11-30,$131
2022-08-31,$168
2022-05-31,$201
2022-02-28,$33
2021-11-30,$124
2021-08-31,$133
2021-05-31,$155
2021-02-28,$38
2020-11-30,$127
2020-08-31,$179
2020-05-31,$109
2020-02-29,$12
2019-11-30,$76
2019-08-31,$106
2019-05-31,$133
2019-02-28,$14
2018-11-30,$49
2018-08-31,$69
2018-05-31,$85
2018-02-28,$40
2017-11-30,$94
2017-08-31,$115
2017-05-31,$127
2017-02-28,$12
2016-11-30,$-71
2016-08-31,$111
2016-05-31,$151
2016-02-29,$18
2015-11-30,$82
2015-08-31,$98
2015-05-31,$127
2015-02-28,$-57
2014-11-30,$68
2014-08-31,$97
2014-05-31,$106
2014-02-28,$16
2013-11-30,$62
2013-08-31,$101
2013-05-31,$67
2013-02-28,$-42
2012-11-30,$41
2012-08-31,$33
2012-05-31,$81
2012-02-29,$7
2011-11-30,$49
2011-08-31,$75
2011-05-31,$68
2011-02-28,$1
2010-11-30,$48
2010-08-31,$69
2010-05-31,$58
2010-02-28,$-9
2009-11-30,$56
2009-08-31,$73
2009-05-31,$39
2009-02-28,$-31
