Ferrari Quarterly Net Income (Millions of US $),Ferrari Quarterly Net Income (Millions of US $).1
2024-06-30,$444
2024-03-31,$381
2023-12-31,$316
2023-09-30,$359
2023-06-30,$363
2023-03-31,$317
2022-12-31,$223
2022-09-30,$227
2022-06-30,$265
2022-03-31,$267
2021-12-31,$245
2021-09-30,$243
2021-06-30,$248
2021-03-31,$247
2020-12-31,$302
2020-09-30,$200
2020-06-30,$10
2020-03-31,$183
2019-12-31,$185
2019-09-30,$187
2019-06-30,$205
2019-03-31,$202
2018-12-31,$220
2018-09-30,$334
2018-06-30,$191
2018-03-31,$181
2017-12-31,$159
2017-09-30,$165
2017-06-30,$150
2017-03-31,$132
2016-12-31,$120
2016-09-30,$126
2016-06-30,$110
2016-03-31,$85
2015-12-31,$49
2015-09-30,$105
2015-06-30,$93
2015-03-31,$73
2014-12-31,$99
