Owens Corning Inc Quarterly Net Income (Millions of US $),Owens Corning Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$285
2024-03-31,$299
2023-12-31,$131
2023-09-30,$337
2023-06-30,$345
2023-03-31,$383
2022-12-31,$124
2022-09-30,$470
2022-06-30,$343
2022-03-31,$304
2021-12-31,$227
2021-09-30,$260
2021-06-30,$298
2021-03-31,$210
2020-12-31,$232
2020-09-30,$206
2020-06-30,$96
2020-03-31,$-917
2019-12-31,$73
2019-09-30,$150
2019-06-30,$138
2019-03-31,$44
2018-12-31,$171
2018-09-30,$161
2018-06-30,$121
2018-03-31,$92
2017-12-31,$-4
2017-09-30,$96
2017-06-30,$96
2017-03-31,$101
2016-12-31,$86
2016-09-30,$112
2016-06-30,$138
2016-03-31,$57
2015-12-31,$109
2015-09-30,$112
2015-06-30,$91
2015-03-31,$18
2014-12-31,$33
2014-09-30,$52
2014-06-30,$21
2014-03-31,$120
2013-12-31,$82
2013-09-30,$51
2013-06-30,$49
2013-03-31,$22
2012-12-31,$-56
2012-09-30,$44
2012-06-30,$39
2012-03-31,$-46
2011-12-31,$50
2011-09-30,$124
2011-06-30,$78
2011-03-31,$24
2010-12-31,$-110
2010-09-30,$58
2010-06-30,$937
2010-03-31,$48
2009-12-31,$-21
2009-09-30,$80
2009-06-30,$33
2009-03-31,$-28
