Coty Quarterly Net Income (Millions of US $),Coty Quarterly Net Income (Millions of US $).1
2024-06-30,$-100
2024-03-31,$1
2023-12-31,$178
2023-09-30,$-2
2023-06-30,$30
2023-03-31,$105
2022-12-31,$235
2022-09-30,$125
2022-06-30,$-285
2022-03-31,$50
2021-12-31,$193
2021-09-30,$103
2021-06-30,$-210
2021-03-31,$-19
2020-12-31,$-275
2020-09-30,$201
2020-06-30,$-696
2020-03-31,$-272
2019-12-31,$-21
2019-09-30,$52
2019-06-30,"$-2,783"
2019-03-31,$-12
2018-12-31,$-961
2018-09-30,$-12
2018-06-30,$-181
2018-03-31,$-77
2017-12-31,$109
2017-09-30,$-20
2017-06-30,$-305
2017-03-31,$-164
2016-12-31,$47
2016-09-30,
2016-06-30,$-31
2016-03-31,$-27
2015-12-31,$89
2015-09-30,$126
2015-06-30,$21
2015-03-31,$76
2014-12-31,$125
2014-09-30,$11
2014-06-30,$-20
2014-03-31,$-253
2013-12-31,$83
2013-09-30,$94
2013-06-30,$-62
2013-03-31,$20
2012-12-31,$123
2012-09-30,$87
2012-06-30,
2012-03-31,
2011-06-30,
2010-06-30,
