Meritage Homes Quarterly Net Income (Millions of US $),Meritage Homes Quarterly Net Income (Millions of US $).1
2024-06-30,$232
2024-03-31,$186
2023-12-31,$199
2023-09-30,$222
2023-06-30,$187
2023-03-31,$131
2022-12-31,$262
2022-09-30,$262
2022-06-30,$250
2022-03-31,$217
2021-12-31,$237
2021-09-30,$201
2021-06-30,$167
2021-03-31,$132
2020-12-31,$153
2020-09-30,$109
2020-06-30,$91
2020-03-31,$71
2019-12-31,$104
2019-09-30,$70
2019-06-30,$51
2019-03-31,$25
2018-12-31,$75
2018-09-30,$54
2018-06-30,$54
2018-03-31,$44
2017-12-31,$36
2017-09-30,$43
2017-06-30,$42
2017-03-31,$24
2016-12-31,$52
2016-09-30,$37
2016-06-30,$40
2016-03-31,$21
2015-12-31,$53
2015-09-30,$30
2015-06-30,$29
2015-03-31,$16
2014-12-31,$49
2014-09-30,$33
2014-06-30,$35
2014-03-31,$25
2013-12-31,$46
2013-09-30,$38
2013-06-30,$28
2013-03-31,$12
2012-12-31,$95
2012-09-30,$7
2012-06-30,$8
2012-03-31,$-5
2011-12-31,$-12
2011-09-30,$-3
2011-06-30,$1
2011-03-31,$-7
2010-12-31,$-1
2010-09-30,$1
2010-06-30,$4
2010-03-31,$3
2009-12-31,$43
2009-09-30,$-18
2009-06-30,$-74
2009-03-31,$-18
