New Oriental Education & Technology Quarterly Net Income (Millions of US $),New Oriental Education & Technology Quarterly Net Income (Millions of US $).1
2024-05-31,$27
2024-02-29,$87
2023-11-30,$30
2023-08-31,$165
2023-05-31,$29
2023-02-28,$82
2022-11-30,$1
2022-08-31,$66
2022-05-31,$-189
2022-02-28,$-122
2021-11-30,
2021-08-31,$61
2021-05-31,$-45
2021-02-28,$151
2020-11-30,$54
2020-08-31,$175
2020-05-31,$13
2020-02-29,$138
2019-11-30,$53
2019-08-31,$209
2019-05-31,$43
2019-02-28,$97
2018-11-30,$-26
2018-08-31,$123
2018-05-31,$65
2018-02-28,$68
2017-11-30,$4
2017-08-31,$158
2017-05-31,$55
2017-02-28,$68
2016-11-30,$10
2016-08-31,$141
2016-05-31,$42
2016-02-29,$48
2015-11-30,$6
2015-08-31,$129
2015-05-31,$35
2015-02-28,$41
2014-11-30,$2
2014-08-31,$112
2014-05-31,$43
2014-02-28,$42
2013-11-30,$4
2013-08-31,$126
2013-05-31,$28
2013-02-28,$28
2012-11-30,$-16
2012-08-31,$96
2012-05-31,$16
2012-02-29,$22
2011-11-30,$3
2011-08-31,$91
2011-05-31,$14
2011-02-28,$23
2010-11-30,$2
2010-08-31,$62
2010-05-31,$6
2010-02-28,$14
2009-11-30,$1
2009-08-31,$57
2009-05-31,$3
2009-02-28,$10
