VERRA MOBILITY CORP Quarterly Net Income (Millions of US $),VERRA MOBILITY CORP Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$29
2023-12-31,$3
2023-09-30,$30
2023-06-30,$19
2023-03-31,$5
2022-12-31,$28
2022-09-30,$25
2022-06-30,$30
2022-03-31,$10
2021-12-31,$19
2021-09-30,$27
2021-06-30,$4
2021-03-31,$-9
2020-12-31,$-14
2020-09-30,$11
2020-06-30,$-24
2020-03-31,$22
2019-12-31,$-7
2019-09-30,$18
2019-06-30,$4
2019-03-31,$3
2018-12-31,$-31
2018-09-30,$7
2018-06-30,$-5
2018-03-31,$-22
2017-12-31,$19
2017-09-30,$0
2017-06-30,$1
2017-03-31,$0
2016-12-31,
