Nomura Holdings Inc ADR Quarterly Net Income (Millions of US $),Nomura Holdings Inc ADR Quarterly Net Income (Millions of US $).1
2024-06-30,$441
2024-03-31,$387
2023-12-31,$344
2023-09-30,$243
2023-06-30,$170
2023-03-31,$78
2022-12-31,$475
2022-09-30,$121
2022-06-30,$13
2022-03-31,$271
2021-12-31,$531
2021-09-30,$29
2021-06-30,$441
2021-03-31,"$-1,466"
2020-12-31,$944
2020-09-30,$636
2020-06-30,"$1,325"
2020-03-31,$-325
2019-12-31,$525
2019-09-30,"$1,289"
2019-06-30,$508
2019-03-31,$-3
2018-12-31,$-848
2018-09-30,$-101
2018-06-30,$48
2018-03-31,$213
2017-12-31,$783
2017-09-30,$467
2017-06-30,$512
2017-03-31,$546
2016-12-31,$647
2016-09-30,$600
2016-06-30,$435
2016-03-31,$-144
2015-12-31,$290
2015-09-30,$382
2015-06-30,$564
2015-03-31,$690
2014-12-31,$410
2014-09-30,$353
2014-06-30,$195
2014-03-31,$596
2013-12-31,$472
2013-09-30,$388
2013-06-30,$668
2013-03-31,$997
2012-12-31,$221
2012-09-30,$35
2012-06-30,$24
2012-03-31,$147
2011-12-31,$234
2011-09-30,$-589
2011-06-30,$213
2011-03-31,$139
2010-12-31,$164
2010-09-30,$13
2010-06-30,$26
2010-03-31,$197
2009-12-31,$113
2009-09-30,$302
2009-06-30,$114
2009-03-31,"$-2,388"
