Jackson Financial Quarterly Net Income (Millions of US $),Jackson Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$264
2024-03-31,$784
2023-12-31,"$-1,570"
2023-09-30,"$2,762"
2023-06-30,"$1,204"
2023-03-31,"$-1,497"
2022-12-31,"$-1,150"
2022-09-30,"$1,879"
2022-06-30,"$3,263"
2022-03-31,"$2,194"
2021-12-31,$819
2021-09-30,$206
2021-06-30,$-540
2021-03-31,"$2,932"
2020-12-31,
2020-09-30,$-397
2020-06-30,"$-3,109"
2019-12-31,
