International Game Technology Quarterly Net Income (Millions of US $),International Game Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$42
2024-03-31,$82
2023-12-31,$-7
2023-09-30,$94
2023-06-30,$46
2023-03-31,$23
2022-12-31,$-64
2022-09-30,$264
2022-06-30,$-4
2022-03-31,$79
2021-12-31,$19
2021-09-30,$65
2021-06-30,$306
2021-03-31,$92
2020-12-31,$-242
2020-09-30,$-128
2020-06-30,$-280
2020-03-31,$-248
2019-12-31,$-168
2019-09-30,$104
2019-06-30,$5
2019-03-31,$40
2018-12-31,$-102
2018-09-30,$22
2018-06-30,$161
2018-03-31,$-103
2017-12-31,$80
2017-09-30,$-804
2017-06-30,$-290
2017-03-31,$-55
2016-12-31,$233
2016-09-30,$-2
2016-06-30,$73
2016-03-31,$-93
2015-12-31,$74
2015-09-30,$7
2015-06-30,$-117
2015-03-31,$-39
2014-12-31,$-151
2014-09-30,$76
2014-06-30,$55
2014-03-31,$103
2013-12-31,
