Lumentum Holdings Quarterly Net Income (Millions of US $),Lumentum Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-253
2024-03-31,$-127
2023-12-31,$-99
2023-09-30,$-68
2023-06-30,$-60
2023-03-31,$-39
2022-12-31,$-32
2022-09-30,$-0
2022-06-30,$35
2022-03-31,$26
2021-12-31,$57
2021-09-30,$82
2021-06-30,$22
2021-03-31,$226
2020-12-31,$83
2020-09-30,$67
2020-06-30,$-5
2020-03-31,$43
2019-12-31,$49
2019-09-30,$48
2019-06-30,$-26
2019-03-31,$-74
2018-12-31,$16
2018-09-30,$46
2018-06-30,$33
2018-03-31,$2
2017-12-31,$200
2017-09-30,$7
2017-06-30,$-55
2017-03-31,$-56
2016-12-31,$12
2016-09-30,$-4
2016-06-30,$14
2016-03-31,$-8
2015-12-31,$1
2015-09-30,$-10
2015-06-30,$-16
2015-03-31,$12
2014-12-31,$-4
2014-09-30,$4
2014-06-30,
2013-06-30,
2012-06-30,
