Mizuho Financial Quarterly Net Income (Millions of US $),Mizuho Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$203
2023-12-31,
2023-06-30,"$1,790"
2022-06-30,"$1,227"
2021-06-30,"$2,280"
2020-06-30,"$1,138"
2019-06-30,"$1,478"
2018-06-30,"$1,481"
2017-06-30,"$1,065"
2016-06-30,"$1,234"
2015-06-30,"$1,296"
2015-03-31,$744
2014-12-31,"$1,424"
2014-09-30,"$1,737"
2014-06-30,"$1,512"
2014-03-31,"$1,253"
2013-12-31,"$1,334"
2013-09-30,"$1,818"
2013-06-30,"$2,514"
2013-03-31,"$2,042"
2012-12-31,"$2,235"
2012-09-30,$5
2012-06-30,"$2,299"
2012-03-31,"$2,712"
2011-12-31,$210
2011-09-30,"$2,036"
2011-06-30,"$1,185"
2011-03-31,$-103
2010-12-31,$977
2010-09-30,"$2,236"
2010-06-30,"$1,633"
2010-03-31,"$1,216"
2009-12-31,"$1,400"
2009-09-30,
2009-06-30,$-47
2009-03-31,"$-12,282"
