Bilibili Quarterly Net Income (Millions of US $),Bilibili Quarterly Net Income (Millions of US $).1
2024-06-30,$-84
2024-03-31,$-105
2023-12-31,$-180
2023-09-30,$-187
2023-06-30,$-221
2023-03-31,$-92
2022-12-31,$-174
2022-09-30,$-250
2022-06-30,$-303
2022-03-31,$-360
2021-12-31,$-339
2021-09-30,$-414
2021-06-30,$-174
2021-03-31,$-139
2020-12-31,$-148
2020-09-30,$-156
2020-06-30,$-80
2020-03-31,$-77
2019-12-31,$-54
2019-09-30,$-58
2019-06-30,$-46
2019-03-31,$-28
2018-12-31,$-24
2018-09-30,$-36
2018-06-30,$-11
2018-03-31,$-19
2017-12-31,
