ICL Group Quarterly Net Income (Millions of US $),ICL Group Quarterly Net Income (Millions of US $).1
2024-06-30,$115
2024-03-31,$109
2023-12-31,$67
2023-09-30,$137
2023-06-30,$163
2023-03-31,$280
2022-12-31,$331
2022-09-30,$633
2022-06-30,$563
2022-03-31,$632
2021-12-31,$283
2021-09-30,$225
2021-06-30,$140
2021-03-31,$135
2020-12-31,$65
2020-09-30,$54
2020-06-30,$-168
2020-03-31,$60
2019-12-31,$48
2019-09-30,$130
2019-06-30,$158
2019-03-31,$139
2018-12-31,$82
2018-09-30,$129
2018-06-30,$101
2018-03-31,$928
2017-12-31,$155
2017-09-30,$84
2017-06-30,$57
2017-03-31,$68
2016-12-31,$32
2016-09-30,$-340
2016-06-30,$120
2016-03-31,$66
2015-12-31,$96
2015-09-30,$121
2015-06-30,$75
2015-03-31,$217
2014-12-31,
2014-09-30,$180
2014-06-30,$67
2013-12-31,
2013-09-30,$78
2013-06-30,$316
