Choice Hotels Quarterly Net Income (Millions of US $),Choice Hotels Quarterly Net Income (Millions of US $).1
2024-06-30,$87
2024-03-31,$31
2023-12-31,$29
2023-09-30,$92
2023-06-30,$84
2023-03-31,$53
2022-12-31,$55
2022-09-30,$102
2022-06-30,$106
2022-03-31,$67
2021-12-31,$64
2021-09-30,$116
2021-06-30,$86
2021-03-31,$22
2020-12-31,$8
2020-09-30,$14
2020-06-30,$-2
2020-03-31,$55
2019-12-31,$42
2019-09-30,$76
2019-06-30,$74
2019-03-31,$30
2018-12-31,$31
2018-09-30,$80
2018-06-30,$79
2018-03-31,$25
2017-12-31,$-10
2017-09-30,$57
2017-06-30,$50
2017-03-31,$24
2016-12-31,$-1
2016-09-30,$48
2016-06-30,$39
2016-03-31,$21
2015-12-31,$30
2015-09-30,$41
2015-06-30,$36
2015-03-31,$21
2014-12-31,$26
2014-09-30,$39
2014-06-30,$35
2014-03-31,$23
2013-12-31,$23
2013-09-30,$38
2013-06-30,$31
2013-03-31,$20
2012-12-31,$24
2012-09-30,$42
2012-06-30,$32
2012-03-31,$20
2011-12-31,$25
2011-09-30,$42
2011-06-30,$27
2011-03-31,$16
2010-12-31,$24
2010-09-30,$40
2010-06-30,$27
2010-03-31,$16
2009-12-31,$23
2009-09-30,$33
2009-06-30,$26
2009-03-31,$16
