Transocean Quarterly Net Income (Millions of US $),Transocean Quarterly Net Income (Millions of US $).1
2024-06-30,$-123
2024-03-31,$98
2023-12-31,$-104
2023-09-30,$-220
2023-06-30,$-165
2023-03-31,$-465
2022-12-31,$-350
2022-09-30,$-28
2022-06-30,$-68
2022-03-31,$-175
2021-12-31,$-260
2021-09-30,$-130
2021-06-30,$-103
2021-03-31,$-99
2020-12-31,$-37
2020-09-30,$359
2020-06-30,$-497
2020-03-31,$-392
2019-12-31,$-51
2019-09-30,$-825
2019-06-30,$-208
2019-03-31,$-171
2018-12-31,$-242
2018-09-30,$-409
2018-06-30,"$-1,135"
2018-03-31,$-210
2017-12-31,$-111
2017-09-30,"$-1,417"
2017-06-30,"$-1,690"
2017-03-31,$91
2016-12-31,$229
2016-09-30,$218
2016-06-30,$82
2016-03-31,$235
2015-12-31,$685
2015-09-30,$321
2015-06-30,$342
2015-03-31,$-483
2014-12-31,$-665
2014-09-30,"$-2,217"
2014-06-30,$587
2014-03-31,$456
2013-12-31,$236
2013-09-30,$546
2013-06-30,$307
2013-03-31,$318
2012-12-31,$457
2012-09-30,$-381
2012-06-30,$-304
2012-03-31,$9
2011-12-31,"$-6,156"
2011-09-30,$-32
2011-06-30,$124
2011-03-31,$310
2010-12-31,$-834
2010-09-30,$368
2010-06-30,$715
2010-03-31,$677
2009-12-31,$723
2009-09-30,$710
2009-06-30,$806
2009-03-31,$942
