UMB Financial Quarterly Net Income (Millions of US $),UMB Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$101
2024-03-31,$110
2023-12-31,$71
2023-09-30,$97
2023-06-30,$90
2023-03-31,$92
2022-12-31,$100
2022-09-30,$88
2022-06-30,$138
2022-03-31,$106
2021-12-31,$78
2021-09-30,$94
2021-06-30,$87
2021-03-31,$93
2020-12-31,$156
2020-09-30,$73
2020-06-30,$61
2020-03-31,$-3
2019-12-31,$67
2019-09-30,$62
2019-06-30,$57
2019-03-31,$58
2018-12-31,$25
2018-09-30,$58
2018-06-30,$55
2018-03-31,$57
2017-12-31,$112
2017-09-30,$48
2017-06-30,$43
2017-03-31,$44
2016-12-31,$43
2016-09-30,$42
2016-06-30,$38
2016-03-31,$36
2015-12-31,$30
2015-09-30,$22
2015-06-30,$30
2015-03-31,$34
2014-12-31,$27
2014-09-30,$36
2014-06-30,$35
2014-03-31,$23
2013-12-31,$35
2013-09-30,$34
2013-06-30,$30
2013-03-31,$35
2012-12-31,$21
2012-09-30,$26
2012-06-30,$29
2012-03-31,$46
2011-12-31,$23
2011-09-30,$26
2011-06-30,$26
2011-03-31,$31
2010-12-31,$19
2010-09-30,$23
2010-06-30,$23
2010-03-31,$26
2009-12-31,$24
2009-09-30,$24
2009-06-30,$19
2009-03-31,$23
