Harley-Davidson Quarterly Net Income (Millions of US $),Harley-Davidson Quarterly Net Income (Millions of US $).1
2024-06-30,$218
2024-03-31,$235
2023-12-31,$26
2023-09-30,$199
2023-06-30,$178
2023-03-31,$304
2022-12-31,$42
2022-09-30,$261
2022-06-30,$216
2022-03-31,$223
2021-12-31,$22
2021-09-30,$163
2021-06-30,$206
2021-03-31,$259
2020-12-31,$-96
2020-09-30,$120
2020-06-30,$-92
2020-03-31,$70
2019-12-31,$13
2019-09-30,$87
2019-06-30,$196
2019-03-31,$128
2018-12-31,$0
2018-09-30,$114
2018-06-30,$242
2018-03-31,$175
2017-12-31,$8
2017-09-30,$68
2017-06-30,$259
2017-03-31,$186
2016-12-31,$47
2016-09-30,$114
2016-06-30,$280
2016-03-31,$250
2015-12-31,$42
2015-09-30,$140
2015-06-30,$300
2015-03-31,$270
2014-12-31,$74
2014-09-30,$150
2014-06-30,$354
2014-03-31,$266
2013-12-31,$75
2013-09-30,$163
2013-06-30,$272
2013-03-31,$224
2012-12-31,$71
2012-09-30,$134
2012-06-30,$247
2012-03-31,$172
2011-12-31,$106
2011-09-30,$184
2011-06-30,$191
2011-03-31,$119
2010-12-31,$-47
2010-09-30,$89
2010-06-30,$71
2010-03-31,$33
2009-12-31,$-219
2009-09-30,$26
2009-06-30,$20
2009-03-31,$117
