Qifu Technology Quarterly Net Income (Millions of US $),Qifu Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$190
2024-03-31,$161
2023-12-31,$160
2023-09-30,$157
2023-06-30,$151
2023-03-31,$136
2022-12-31,$112
2022-09-30,$140
2022-06-30,$146
2022-03-31,$186
2021-12-31,$219
2021-09-30,$243
2021-06-30,$240
2021-03-31,$206
2020-12-31,$204
2020-09-30,$181
2020-06-30,$124
2020-03-31,$26
2019-12-31,$59
2019-09-30,$103
2019-06-30,$90
2019-03-31,$107
2018-12-31,$87
2018-09-30,
2017-12-31,$22
