Equinor Quarterly Net Income (Millions of US $),Equinor Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,861"
2024-03-31,"$2,668"
2023-12-31,"$2,602"
2023-09-30,"$2,497"
2023-06-30,"$1,824"
2023-03-31,"$4,962"
2022-12-31,"$7,895"
2022-09-30,"$9,384"
2022-06-30,"$6,757"
2022-03-31,"$4,710"
2021-12-31,"$3,368"
2021-09-30,"$1,406"
2021-06-30,"$1,938"
2021-03-31,"$1,851"
2020-12-31,"$-2,421"
2020-09-30,"$-2,127"
2020-06-30,$-254
2020-03-31,$-708
2019-12-31,$-236
2019-09-30,"$-1,108"
2019-06-30,"$1,476"
2019-03-31,"$1,711"
2018-12-31,"$3,366"
2018-09-30,"$1,665"
2018-06-30,"$1,219"
2018-03-31,"$1,285"
2017-12-31,"$2,576"
2017-09-30,$-481
2017-06-30,"$1,433"
2017-03-31,"$1,062"
2016-12-31,"$-2,790"
2016-09-30,$-432
2016-06-30,$-307
2016-03-31,$607
2015-12-31,"$-1,127"
2015-09-30,$-348
2015-06-30,$861
2015-03-31,"$-4,578"
2014-12-31,"$-1,240"
2014-09-30,$-753
2014-06-30,"$1,990"
2014-03-31,"$3,875"
2013-12-31,"$2,535"
2013-09-30,"$2,388"
2013-06-30,$738
2013-03-31,"$1,138"
2012-12-31,"$2,364"
2012-09-30,"$2,436"
2012-06-30,"$4,351"
2012-03-31,"$2,604"
2011-12-31,"$4,433"
2011-09-30,"$1,888"
2011-06-30,"$4,954"
2011-03-31,"$2,791"
2010-12-31,"$1,610"
2010-09-30,"$2,232"
2010-06-30,$493
2010-03-31,"$1,904"
2009-12-31,"$1,260"
2009-09-30,"$1,143"
2009-06-30,$12
2009-03-31,$627
