Ashland Quarterly Net Income (Millions of US $),Ashland Quarterly Net Income (Millions of US $).1
2024-06-30,$6
2024-03-31,$120
2023-12-31,$26
2023-09-30,$-3
2023-06-30,$50
2023-03-31,$91
2022-12-31,$40
2022-09-30,$57
2022-06-30,$36
2022-03-31,$786
2021-12-31,$48
2021-09-30,$43
2021-06-30,$80
2021-03-31,$41
2020-12-31,$56
2020-09-30,$5
2020-06-30,$37
2020-03-31,$-582
2019-12-31,$32
2019-09-30,$411
2019-06-30,$66
2019-03-31,$76
2018-12-31,$-48
2018-09-30,$9
2018-06-30,$36
2018-03-31,$73
2017-12-31,$-4
2017-09-30,$-58
2017-06-30,$-33
2017-03-31,$92
2016-12-31,$-1
2016-09-30,$-276
2016-06-30,$71
2016-03-31,$87
2015-12-31,$89
2015-09-30,$-55
2015-06-30,$107
2015-03-31,$224
2014-12-31,$32
2014-09-30,$68
2014-06-30,$99
2014-03-31,$-44
2013-12-31,$110
2013-09-30,$405
2013-06-30,$124
2013-03-31,$53
2012-12-31,$101
2012-09-30,$-274
2012-06-30,$151
2012-03-31,$88
2011-12-31,$61
2011-09-30,$-263
2011-06-30,$93
2011-03-31,$485
2010-12-31,$99
2010-09-30,$76
2010-06-30,$148
2010-03-31,$22
2009-12-31,$86
2009-09-30,$93
2009-06-30,$50
2009-03-31,$48
