Brookfield Renewable Partners Quarterly Net Income (Millions of US $),Brookfield Renewable Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$-79
2024-03-31,$-67
2023-12-31,$4
2023-09-30,$-41
2023-06-30,$-28
2023-03-31,$-26
2022-12-31,$-45
2022-09-30,$-68
2022-06-30,$-9
2022-03-31,$-44
2021-12-31,$-32
2021-09-30,$-58
2021-06-30,$-35
2021-03-31,$-66
2020-12-31,$-61
2020-09-30,$-92
2020-06-30,$-33
2020-03-31,$2
2019-12-31,$-83
2019-09-30,$-39
2019-06-30,$9
2019-03-31,$25
2018-12-31,$52
2018-09-30,$-32
2018-06-30,$-1
2018-03-31,$5
2017-12-31,$-38
2017-09-30,$-24
2017-06-30,$21
2017-03-31,$9
2016-12-31,$-26
2016-09-30,$-18
2016-06-30,$-15
2016-03-31,$23
2015-12-31,$-10
2015-09-30,$-9
2015-06-30,$9
2015-03-31,$15
2014-12-31,$31
2014-09-30,$-25
2014-06-30,$72
2014-03-31,$125
2013-12-31,$24
2013-09-30,$28
2013-06-30,$78
2013-03-31,$85
2012-12-31,$-28
2012-09-30,$-59
2012-06-30,$-3
2012-03-31,$31
2011-12-31,$-72
