Texas Roadhouse Quarterly Net Income (Millions of US $),Texas Roadhouse Quarterly Net Income (Millions of US $).1
2024-06-30,$120
2024-03-31,$113
2023-12-31,$72
2023-09-30,$64
2023-06-30,$82
2023-03-31,$86
2022-12-31,$60
2022-09-30,$62
2022-06-30,$72
2022-03-31,$75
2021-12-31,$53
2021-09-30,$53
2021-06-30,$75
2021-03-31,$64
2020-12-31,$20
2020-09-30,$29
2020-06-30,$-34
2020-03-31,$16
2019-12-31,$43
2019-09-30,$37
2019-06-30,$45
2019-03-31,$50
2018-12-31,$30
2018-09-30,$29
2018-06-30,$44
2018-03-31,$55
2017-12-31,$29
2017-09-30,$31
2017-06-30,$38
2017-03-31,$34
2016-12-31,$21
2016-09-30,$26
2016-06-30,$34
2016-03-31,$36
2015-12-31,$23
2015-09-30,$20
2015-06-30,$21
2015-03-31,$32
2014-12-31,$19
2014-09-30,$19
2014-06-30,$23
2014-03-31,$26
2013-12-31,$17
2013-09-30,$17
2013-06-30,$20
2013-03-31,$26
2012-12-31,$14
2012-09-30,$18
2012-06-30,$20
2012-03-31,$19
2011-12-31,$12
2011-09-30,$16
2011-06-30,$16
2011-03-31,$20
2010-12-31,$10
2010-09-30,$14
2010-06-30,$15
2010-03-31,$19
2009-12-31,$9
2009-09-30,$11
2009-06-30,$14
2009-03-31,$14
