Element Solutions Quarterly Net Income (Millions of US $),Element Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$93
2024-03-31,$56
2023-12-31,$77
2023-09-30,$-32
2023-06-30,$30
2023-03-31,$43
2022-12-31,$13
2022-09-30,$53
2022-06-30,$65
2022-03-31,$56
2021-12-31,$4
2021-09-30,$36
2021-06-30,$81
2021-03-31,$82
2020-12-31,$30
2020-09-30,$36
2020-06-30,$1
2020-03-31,$9
2019-12-31,$74
2019-09-30,$-7
2019-06-30,$2
2019-03-31,$23
2018-12-31,$35
2018-09-30,$-409
2018-06-30,$12
2018-03-31,$37
2017-12-31,$-142
2017-09-30,$-69
2017-06-30,$-61
2017-03-31,$-24
2016-12-31,$-2
2016-09-30,$105
2016-06-30,$-9
2016-03-31,$-135
2015-12-31,$-130
2015-09-30,$-140
2015-06-30,$-12
2015-03-31,$-27
2014-12-31,$-267
2014-09-30,$12
2014-06-30,$-0
2014-03-31,$-7
2013-12-31,$-213
2013-09-30,$9
2013-06-30,$-15
2013-03-31,$15
2012-12-31,
2011-12-31,
