Allete Quarterly Net Income (Millions of US $),Allete Quarterly Net Income (Millions of US $).1
2024-06-30,$33
2024-03-31,$51
2023-12-31,$52
2023-09-30,$86
2023-06-30,$52
2023-03-31,$58
2022-12-31,$52
2022-09-30,$34
2022-06-30,$38
2022-03-31,$66
2021-12-31,$62
2021-09-30,$28
2021-06-30,$28
2021-03-31,$52
2020-12-31,$38
2020-09-30,$41
2020-06-30,$20
2020-03-31,$66
2019-12-31,$50
2019-09-30,$31
2019-06-30,$34
2019-03-31,$71
2018-12-31,$61
2018-09-30,$31
2018-06-30,$31
2018-03-31,$51
2017-12-31,$41
2017-09-30,$45
2017-06-30,$37
2017-03-31,$49
2016-12-31,$44
2016-09-30,$40
2016-06-30,$25
2016-03-31,$46
2015-12-31,$18
2015-09-30,$60
2015-06-30,$23
2015-03-31,$40
2014-12-31,$33
2014-09-30,$42
2014-06-30,$17
2014-03-31,$34
2013-12-31,$33
2013-09-30,$25
2013-06-30,$14
2013-03-31,$33
2012-12-31,$29
2012-09-30,$29
2012-06-30,$14
2012-03-31,$24
2011-12-31,$19
2011-09-30,$21
2011-06-30,$17
2011-03-31,$37
2010-12-31,$13
2010-09-30,$20
2010-06-30,$19
2010-03-31,$23
2009-12-31,$19
2009-09-30,$16
2009-06-30,$9
2009-03-31,$17
