Toll Brothers Quarterly Net Income (Millions of US $),Toll Brothers Quarterly Net Income (Millions of US $).1
2024-07-31,$375
2024-04-30,$482
2024-01-31,$240
2023-10-31,$446
2023-07-31,$415
2023-04-30,$320
2023-01-31,$192
2022-10-31,$641
2022-07-31,$273
2022-04-30,$221
2022-01-31,$152
2021-10-31,$374
2021-07-31,$235
2021-04-30,$128
2021-01-31,$96
2020-10-31,$199
2020-07-31,$115
2020-04-30,$76
2020-01-31,$57
2019-10-31,$202
2019-07-31,$146
2019-04-30,$129
2019-01-31,$112
2018-10-31,$311
2018-07-31,$193
2018-04-30,$112
2018-01-31,$132
2017-10-31,$192
2017-07-31,$149
2017-04-30,$125
2017-01-31,$70
2016-10-31,$114
2016-07-31,$105
2016-04-30,$89
2016-01-31,$73
2015-10-31,$147
2015-07-31,$67
2015-04-30,$68
2015-01-31,$81
2014-10-31,$132
2014-07-31,$98
2014-04-30,$65
2014-01-31,$46
2013-10-31,$95
2013-07-31,$47
2013-04-30,$25
2013-01-31,$4
2012-10-31,$411
2012-07-31,$62
2012-04-30,$17
2012-01-31,$-3
2011-10-31,$15
2011-07-31,$42
2011-04-30,$-21
2011-01-31,$3
2010-10-31,$50
2010-07-31,$27
2010-04-30,$-40
2010-01-31,$-41
2009-10-31,$-111
2009-07-31,$-472
2009-04-30,$-83
2009-01-31,$-89
