Piper Sandler Quarterly Net Income (Millions of US $),Piper Sandler Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$42
2023-12-31,$52
2023-09-30,$4
2023-06-30,$4
2023-03-31,$26
2022-12-31,$38
2022-09-30,$15
2022-06-30,$21
2022-03-31,$37
2021-12-31,$114
2021-09-30,$46
2021-06-30,$70
2021-03-31,$49
2020-12-31,$42
2020-09-30,$12
2020-06-30,$1
2020-03-31,$-15
2019-12-31,$36
2019-09-30,$43
2019-06-30,$10
2019-03-31,$18
2018-12-31,$26
2018-09-30,$19
2018-06-30,$6
2018-03-31,$6
2017-12-31,$-43
2017-09-30,$-50
2017-06-30,$12
2017-03-31,$17
2016-12-31,$-34
2016-09-30,$9
2016-06-30,$2
2016-03-31,$2
2015-12-31,$12
2015-09-30,$4
2015-06-30,$16
2015-03-31,$16
2014-12-31,$12
2014-09-30,$14
2014-06-30,$17
2014-03-31,$16
2013-12-31,$25
2013-09-30,$5
2013-06-30,$2
2013-03-31,$9
2012-12-31,$10
2012-09-30,$17
2012-06-30,$6
2012-03-31,$2
2011-12-31,$-113
2011-09-30,$-4
2011-06-30,$9
2011-03-31,$6
2010-12-31,$7
2010-09-30,$5
2010-06-30,$6
2010-03-31,$0
2009-12-31,$16
2009-09-30,$8
2009-06-30,$9
2009-03-31,$-3
