Five Below Quarterly Net Income (Millions of US $),Five Below Quarterly Net Income (Millions of US $).1
2024-07-31,$33
2024-04-30,$31
2024-01-31,$202
2023-10-31,$15
2023-07-31,$47
2023-04-30,$37
2023-01-31,$171
2022-10-31,$16
2022-07-31,$41
2022-04-30,$33
2022-01-31,$140
2021-10-31,$24
2021-07-31,$65
2021-04-30,$50
2021-01-31,$124
2020-10-31,$20
2020-07-31,$30
2020-04-30,$-51
2020-01-31,$110
2019-10-31,$10
2019-07-31,$29
2019-04-30,$26
2019-01-31,$89
2018-10-31,$14
2018-07-31,$25
2018-04-30,$22
2018-01-31,$67
2017-10-31,$10
2017-07-31,$17
2017-04-30,$8
2017-01-31,$50
2016-10-31,$5
2016-07-31,$10
2016-04-30,$7
2016-01-31,$42
2015-10-31,$4
2015-07-31,$7
2015-04-30,$4
2015-01-31,$33
2014-10-31,$3
2014-07-31,$8
2014-04-30,$3
2014-01-31,$24
2013-10-31,$2
2013-07-31,$4
2013-04-30,$2
2013-01-31,$23
2012-10-31,$1
2012-07-31,$-64
2012-04-30,$-5
2012-01-31,$12
2011-10-31,$-4
2011-07-31,$-2
2011-04-30,$-3
2011-01-31,$10
2010-10-31,$-4
2010-07-31,$1
2010-04-30,$0
2010-01-31,
