Gap Quarterly Net Income (Millions of US $),Gap Quarterly Net Income (Millions of US $).1
2024-07-31,$206
2024-04-30,$158
2024-01-31,$185
2023-10-31,$218
2023-07-31,$117
2023-04-30,$-18
2023-01-31,$-273
2022-10-31,$282
2022-07-31,$-49
2022-04-30,$-162
2022-01-31,$-16
2021-10-31,$-152
2021-07-31,$258
2021-04-30,$166
2021-01-31,$234
2020-10-31,$95
2020-07-31,$-62
2020-04-30,$-932
2020-01-31,$-184
2019-10-31,$140
2019-07-31,$168
2019-04-30,$227
2019-01-31,$276
2018-10-31,$266
2018-07-31,$297
2018-04-30,$164
2018-01-31,$205
2017-10-31,$229
2017-07-31,$271
2017-04-30,$143
2017-01-31,$220
2016-10-31,$204
2016-07-31,$125
2016-04-30,$127
2016-01-31,$214
2015-10-31,$248
2015-07-31,$219
2015-04-30,$239
2015-01-31,$319
2014-10-31,$351
2014-07-31,$332
2014-04-30,$260
2014-01-31,$307
2013-10-31,$337
2013-07-31,$303
2013-04-30,$333
2013-01-31,$351
2012-10-31,$308
2012-07-31,$243
2012-04-30,$233
2012-01-31,$218
2011-10-31,$193
2011-07-31,$189
2011-04-30,$233
2011-01-31,$365
2010-10-31,$303
2010-07-31,$234
2010-04-30,$302
2010-01-31,$352
2009-10-31,$307
2009-07-31,$228
2009-04-30,$215
2009-01-31,$243
