VALE S.A Quarterly Net Income (Millions of US $),VALE S.A Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,769"
2024-03-31,"$1,679"
2023-12-31,"$2,418"
2023-09-30,"$2,836"
2023-06-30,$892
2023-03-31,"$1,837"
2022-12-31,"$3,724"
2022-09-30,"$4,455"
2022-06-30,"$6,151"
2022-03-31,"$4,458"
2021-12-31,"$4,909"
2021-09-30,"$3,843"
2021-06-30,"$8,147"
2021-03-31,"$5,546"
2020-12-31,$739
2020-09-30,"$2,908"
2020-06-30,$995
2020-03-31,$239
2019-12-31,"$-1,597"
2019-09-30,"$1,654"
2019-06-30,$-98
2019-03-31,"$-1,642"
2018-12-31,"$3,786"
2018-09-30,"$1,408"
2018-06-30,$76
2018-03-31,"$1,590"
2017-12-31,$771
2017-09-30,"$2,230"
2017-06-30,$16
2017-03-31,"$2,490"
2016-12-31,$525
2016-09-30,$575
2016-06-30,"$1,106"
2016-03-31,"$1,776"
2015-12-31,"$-8,569"
2015-09-30,"$-2,117"
2015-06-30,"$1,675"
2015-03-31,"$-3,118"
2014-12-31,"$-1,849"
2014-09-30,"$-1,437"
2014-06-30,"$1,428"
2014-03-31,"$2,515"
2013-12-31,"$-6,451"
2013-09-30,"$3,502"
2013-06-30,$424
2013-03-31,"$3,109"
2012-12-31,"$-2,647"
2012-09-30,"$1,638"
2012-06-30,"$2,640"
2012-03-31,"$3,793"
2011-12-31,"$4,672"
2011-09-30,"$4,935"
2011-06-30,"$6,452"
2011-03-31,"$6,826"
2010-12-31,"$5,917"
2010-09-30,"$6,038"
2010-06-30,"$3,705"
2010-03-31,"$1,604"
2009-12-31,"$1,519"
2009-09-30,"$1,677"
2009-06-30,$790
2009-03-31,"$1,363"
