Clarivate Quarterly Net Income (Millions of US $),Clarivate Quarterly Net Income (Millions of US $).1
2024-06-30,$-317
2024-03-31,$-94
2023-12-31,$-863
2023-09-30,$-7
2023-06-30,$-142
2023-03-31,$25
2022-12-31,$304
2022-09-30,"$-4,434"
2022-06-30,$44
2022-03-31,$51
2021-12-31,$-131
2021-09-30,$6
2021-06-30,$-132
2021-03-31,$-56
2020-12-31,$-14
2020-09-30,$-182
2020-06-30,$-25
2020-03-31,$-130
2019-12-31,$-132
2019-09-30,$11
2019-06-30,$-78
2019-03-31,$-59
2018-12-31,$-43
2018-09-30,$-55
2018-06-30,$-67
2018-03-31,$-77
2017-12-31,
