TELUS Quarterly Net Income (Millions of US $),TELUS Quarterly Net Income (Millions of US $).1
2024-06-30,$167
2024-03-31,$94
2023-12-31,$212
2023-09-30,$101
2023-06-30,$149
2023-03-31,$160
2022-12-31,$178
2022-09-30,$394
2022-06-30,$366
2022-03-31,$304
2021-12-31,$512
2021-09-30,$274
2021-06-30,$273
2021-03-31,$261
2020-12-31,$200
2020-09-30,$230
2020-06-30,$209
2020-03-31,$261
2019-12-31,$279
2019-09-30,$328
2019-06-30,$387
2019-03-31,$322
2018-12-31,$269
2018-09-30,$339
2018-06-30,$302
2018-03-31,$324
2017-12-31,$224
2017-09-30,$293
2017-06-30,$282
2017-03-31,$327
2016-12-31,$58
2016-09-30,$267
2016-06-30,$323
2016-03-31,$276
2015-12-31,$196
2015-09-30,$279
2015-06-30,$277
2015-03-31,$344
2014-12-31,$247
2014-09-30,$311
2014-06-30,$348
2014-03-31,$346
2013-12-31,$264
2013-09-30,$341
2013-06-30,$275
2013-03-31,$360
2012-12-31,$291
2012-09-30,$351
2012-06-30,$325
2012-03-31,$350
2011-12-31,$247
2011-09-30,$333
2011-06-30,$330
2011-03-31,$313
2010-12-31,$228
2010-09-30,$246
2010-06-30,$288
2010-03-31,$263
2009-12-31,$148
2009-09-30,$263
2009-06-30,$227
2009-03-31,$322
