Block Quarterly Net Income (Millions of US $),Block Quarterly Net Income (Millions of US $).1
2024-06-30,$195
2024-03-31,$472
2023-12-31,$42
2023-09-30,$-29
2023-06-30,$-102
2023-03-31,$98
2022-12-31,$-114
2022-09-30,$-15
2022-06-30,$-208
2022-03-31,$-204
2021-12-31,$-77
2021-09-30,$0
2021-06-30,$204
2021-03-31,$39
2020-12-31,$294
2020-09-30,$37
2020-06-30,$-11
2020-03-31,$-106
2019-12-31,$391
2019-09-30,$29
2019-06-30,$-7
2019-03-31,$-38
2018-12-31,$-28
2018-09-30,$20
2018-06-30,$-6
2018-03-31,$-24
2017-12-31,$-16
2017-09-30,$-16
2017-06-30,$-16
2017-03-31,$-15
2016-12-31,$-15
2016-09-30,$-32
2016-06-30,$-27
2016-03-31,$-97
2015-12-31,$-48
2015-09-30,$-54
2015-06-30,$-30
2015-03-31,$-48
2014-12-31,
2013-12-31,
2012-12-31,
