Louisiana-Pacific Quarterly Net Income (Millions of US $),Louisiana-Pacific Quarterly Net Income (Millions of US $).1
2024-06-30,$160
2024-03-31,$108
2023-12-31,$59
2023-09-30,$118
2023-06-30,$-20
2023-03-31,$21
2022-12-31,$-8
2022-09-30,$226
2022-06-30,$384
2022-03-31,$484
2021-12-31,$194
2021-09-30,$365
2021-06-30,$498
2021-03-31,$320
2020-12-31,$256
2020-09-30,$177
2020-06-30,$33
2020-03-31,$33
2019-12-31,$-51
2019-09-30,$2
2019-06-30,$17
2019-03-31,$27
2018-12-31,$17
2018-09-30,$124
2018-06-30,$163
2018-03-31,$91
2017-12-31,$131
2017-09-30,$110
2017-06-30,$95
2017-03-31,$55
2016-12-31,$42
2016-09-30,$66
2016-06-30,$32
2016-03-31,$10
2015-12-31,$-8
2015-09-30,$-27
2015-06-30,$-20
2015-03-31,$-35
2014-12-31,$-43
2014-09-30,$-20
2014-06-30,$2
2014-03-31,$-14
2013-12-31,$-20
2013-09-30,$38
2013-06-30,$94
2013-03-31,$65
2012-12-31,$46
2012-09-30,$31
2012-06-30,$-37
2012-03-31,$-11
2011-12-31,$-57
2011-09-30,$-66
2011-06-30,$-36
2011-03-31,$-23
2010-12-31,$-7
2010-09-30,$-32
2010-06-30,$22
2010-03-31,$-23
2009-12-31,$-49
2009-09-30,$-12
2009-06-30,$-29
2009-03-31,$-31
