Taylor Morrison Home Quarterly Net Income (Millions of US $),Taylor Morrison Home Quarterly Net Income (Millions of US $).1
2024-06-30,$199
2024-03-31,$190
2023-12-31,$173
2023-09-30,$171
2023-06-30,$235
2023-03-31,$191
2022-12-31,$275
2022-09-30,$310
2022-06-30,$291
2022-03-31,$177
2021-12-31,$273
2021-09-30,$168
2021-06-30,$124
2021-03-31,$98
2020-12-31,$94
2020-09-30,$115
2020-06-30,$66
2020-03-31,$-31
2019-12-31,$55
2019-09-30,$67
2019-06-30,$82
2019-03-31,$51
2018-12-31,$9
2018-09-30,$94
2018-06-30,$59
2018-03-31,$45
2017-12-31,$19
2017-09-30,$33
2017-06-30,$27
2017-03-31,$11
2016-12-31,$19
2016-09-30,$15
2016-06-30,$12
2016-03-31,$7
2015-12-31,$18
2015-09-30,$12
2015-06-30,$5
2015-03-31,$26
2014-12-31,$28
2014-09-30,$18
2014-06-30,$15
2014-03-31,$11
2013-12-31,$26
2013-09-30,$14
2013-06-30,$5
2013-03-31,
2012-12-31,$431
2012-09-30,$43
2012-06-30,$29
2012-03-31,$10
2011-12-31,
