Aspen Technology Quarterly Net Income (Millions of US $),Aspen Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$2
2023-12-31,$-22
2023-09-30,$-35
2023-06-30,$27
2023-03-31,$-58
2022-12-31,$-66
2022-09-30,$-11
2022-06-30,$68
2022-03-31,$-3
2021-12-31,$-1
2021-09-30,$-245
2021-06-30,$-245
2021-03-31,$62
2020-12-31,$129
2020-09-30,$-155
2020-06-30,$95
2020-03-31,$42
2019-12-31,$40
2019-09-30,$54
2019-06-30,$102
2019-03-31,$62
2018-12-31,$59
2018-09-30,$38
2018-06-30,$64
2018-03-31,$45
2017-12-31,$132
2017-09-30,$41
2017-06-30,$72
2017-03-31,$36
2016-12-31,$37
2016-09-30,$35
2016-06-30,$33
2016-03-31,$33
2015-12-31,$37
2015-09-30,$37
2015-06-30,$31
2015-03-31,$28
2014-12-31,$30
2014-09-30,$29
2014-06-30,$27
2014-03-31,$21
2013-12-31,$23
2013-09-30,$15
2013-06-30,$20
2013-03-31,$11
2012-12-31,$10
2012-09-30,$4
2012-06-30,$-5
2012-03-31,$-1
2011-12-31,$4
2011-09-30,$-12
2011-06-30,$42
2011-03-31,$-6
2010-12-31,$-10
2010-09-30,$-15
2010-06-30,$-34
2010-03-31,$-22
2009-12-31,$-31
2009-09-30,$-21
2009-06-30,$10
2009-03-31,$8
