Saia Quarterly Net Income (Millions of US $),Saia Quarterly Net Income (Millions of US $).1
2024-06-30,$103
2024-03-31,$91
2023-12-31,$89
2023-09-30,$98
2023-06-30,$91
2023-03-31,$76
2022-12-31,$71
2022-09-30,$98
2022-06-30,$109
2022-03-31,$79
2021-12-31,$74
2021-09-30,$80
2021-06-30,$62
2021-03-31,$37
2020-12-31,$40
2020-09-30,$42
2020-06-30,$28
2020-03-31,$28
2019-12-31,$21
2019-09-30,$33
2019-06-30,$37
2019-03-31,$22
2018-12-31,$25
2018-09-30,$28
2018-06-30,$30
2018-03-31,$21
2017-12-31,$48
2017-09-30,$14
2017-06-30,$18
2017-03-31,$11
2016-12-31,$10
2016-09-30,$14
2016-06-30,$13
2016-03-31,$11
2015-12-31,$11
2015-09-30,$12
2015-06-30,$19
2015-03-31,$13
2014-12-31,$14
2014-09-30,$16
2014-06-30,$14
2014-03-31,$9
2013-12-31,$8
2013-09-30,$13
2013-06-30,$14
2013-03-31,$9
2012-12-31,$5
2012-09-30,$9
2012-06-30,$12
2012-03-31,$6
2011-12-31,$2
2011-09-30,$5
2011-06-30,$3
2011-03-31,$1
2010-12-31,$1
2010-09-30,$2
2010-06-30,$2
2010-03-31,$-3
2009-12-31,$-3
2009-09-30,$3
2009-06-30,$-2
2009-03-31,$-6
