Sonoco Products Quarterly Net Income (Millions of US $),Sonoco Products Quarterly Net Income (Millions of US $).1
2024-06-30,$91
2024-03-31,$65
2023-12-31,$81
2023-09-30,$131
2023-06-30,$115
2023-03-31,$148
2022-12-31,$97
2022-09-30,$122
2022-06-30,$132
2022-03-31,$115
2021-12-31,$65
2021-09-30,$111
2021-06-30,$-334
2021-03-31,$72
2020-12-31,$-12
2020-09-30,$83
2020-06-30,$55
2020-03-31,$80
2019-12-31,$45
2019-09-30,$92
2019-06-30,$81
2019-03-31,$74
2018-12-31,$78
2018-09-30,$72
2018-06-30,$89
2018-03-31,$74
2017-12-31,$6
2017-09-30,$73
2017-06-30,$43
2017-03-31,$54
2016-12-31,$105
2016-09-30,$65
2016-06-30,$56
2016-03-31,$60
2015-12-31,$56
2015-09-30,$44
2015-06-30,$64
2015-03-31,$86
2014-12-31,$49
2014-09-30,$67
2014-06-30,$59
2014-03-31,$50
2013-12-31,$45
2013-09-30,$61
2013-06-30,$55
2013-03-31,$48
2012-12-31,$42
2012-09-30,$59
2012-06-30,$51
2012-03-31,$43
2011-12-31,$30
2011-09-30,$77
2011-06-30,$53
2011-03-31,$57
2010-12-31,$35
2010-09-30,$59
2010-06-30,$59
2010-03-31,$49
2009-12-31,$47
2009-09-30,$48
2009-06-30,$34
2009-03-31,$23
