Tempur Sealy Quarterly Net Income (Millions of US $),Tempur Sealy Quarterly Net Income (Millions of US $).1
2024-06-30,$106
2024-03-31,$76
2023-12-31,$77
2023-09-30,$113
2023-06-30,$92
2023-03-31,$85
2022-12-31,$102
2022-09-30,$133
2022-06-30,$91
2022-03-31,$131
2021-12-31,$176
2021-09-30,$177
2021-06-30,$141
2021-03-31,$131
2020-12-31,$145
2020-09-30,$121
2020-06-30,$23
2020-03-31,$60
2019-12-31,$46
2019-09-30,$73
2019-06-30,$42
2019-03-31,$28
2018-12-31,$12
2018-09-30,$42
2018-06-30,$23
2018-03-31,$23
2017-12-31,$48
2017-09-30,$45
2017-06-30,$25
2017-03-31,$34
2016-12-31,$52
2016-09-30,$78
2016-06-30,$21
2016-03-31,$40
2015-12-31,$-20
2015-09-30,$40
2015-06-30,$21
2015-03-31,$23
2014-12-31,$47
2014-09-30,$37
2014-06-30,$-2
2014-03-31,$27
2013-12-31,$28
2013-09-30,$40
2013-06-30,$-2
2013-03-31,$13
2012-12-31,$24
2012-09-30,$-2
2012-06-30,$29
2012-03-31,$56
2011-12-31,$56
2011-09-30,$62
2011-06-30,$53
2011-03-31,$48
2010-12-31,$46
2010-09-30,$44
2010-06-30,$34
2010-03-31,$33
2009-12-31,$29
2009-09-30,$26
2009-06-30,$17
2009-03-31,$13
